Way Bill No,Waybill Date,Booking Branch,Collection At,Delivery at,,,Via location,Consigner Name,Consignee Name,,Pay Mode,Package Type,,Said to Contain,Invoice No,Value,No of PKGs,Actual Wt,Charge Wt.,Freight,Billing Party,Billing Location,TUR No,TUR Date,GDM No,LHS No,Remark,Special Remark
2753525,09/04/2020,BHIWANDI,BHIWANDI      ,ANDHERI,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SHRI SAI ARIHANT DISTRIBUTOR,,TBB,Cartons,,E GOODS,BHIIN000043,331132,82,1164,1251,10870.26,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2753526,09/04/2020,BHIWANDI,BHIWANDI      ,MALAD,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,UMIYA SALES,,TBB,Cartons,,E GOODS,BHIIN000044,298852,35,481,519,4949.7,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2753527,09/04/2020,BHIWANDI,BHIWANDI      ,MALAD EAST     ,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,UMIYA SALES,,TBB,Cartons,,E GOODS,BHIIN000045,16831,1,15,20,733.66,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2753528,09/04/2020,BHIWANDI,BHIWANDI      ,ANDHERI,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SHRI SAI ARIHANT DISTRIBUTOR,,TBB,Cartons,,E GOODS,BHIIN000042,33662,2,31,33,531.32,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2753529,09/04/2020,BHIWANDI,BHIWANDI      ,BOISAR      ,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,JAI MAA KALI ENTERPRISES,,TBB,Cartons,,E GOODS,BHIIN0000046,25761,8,58,63,755.52,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2753530,09/04/2020,BHIWANDI,BHIWANDI      ,GHTKOPER,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,N R ENTERPRISES,,TBB,Cartons,,E GOODS,BHIIN0000022,54812,7,89,97,1085.62,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2753531,09/04/2020,BHIWANDI,BHIWANDI      ,MUMBAI,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,N R ENTERPRISES,,TBB,Cartons,,E GOODS,BHIIN0000052,95889,17,231,250,2391.78,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2753532,09/04/2020,BHIWANDI,BHIWANDI      ,DOMBIVALI CITY,,,BHIWANDI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,SEFALI DISTRIBUTORS,,TBB,Cartons,,E GOODS,BHIIN0000038,125818,12,175,188,1955.64,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,,,,
2753533,10/04/2020,BHIWANDI,BHIWANDI      ,MALAD EAST     ,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,UMIYA SALES,,TBB,Cartons,,E GOODS,BHIIN0000053,69662,40,518,557,4795.32,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2753534,10/04/2020,BHIWANDI,BHIWANDI      ,WAGHOLI,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,MORE RETAIL LTD.,,TBB,Cartons,,E GOODS,BHIIN0000050,19676,4,58,61,727.35,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007140,16BHD1703137,,
2753535,10/04/2020,BHIWANDI,BHIWANDI      ,MALAD,,,BHANDUP,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,UMIYA SALES,,TBB,Cartons,,E GOODS,BHIIN0000060,440630,128,1544,1662,14377.26,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007154,16BHD1703145,,
2753536,10/04/2020,BHIWANDI,BHIWANDI      ,WAGHOLI,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,MORE RETAIL LTD.,,TBB,Cartons,,E GOODS,BHIIN0000049,65514,43,652,692,5867.03,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007140,16BHD1703137,,
2753537,10/04/2020,BHIWANDI,BHIWANDI      ,WAGHOLI,,,WAGHOLI,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,MORE RETAIL LTD.,,TBB,Cartons,,E GOODS,BHIIN0000051,145881,38,158,178,1915.76,SC JOHNSON PRODUCT PRIVATE LIMITED - BHIWANDI,,0,5/26/2020 1:09:40 PM,19BHD0007140,16BHD1703137,,
